dM,dP,dS,dO,target
-212.5,-30.25,104.75,0,1
-812.5,-20.25,-113.25,0,0
1337.5,-18.25,229.75,0,0.3333333333333333
-312.5,68.75,-221.25,0,0.6666666666666666
-412.5,145,57.5,-225,1
-1012.5,-87,-217.5,-225,0
1137.5,-78,222.5,-225,0.3333333333333333
287.5,20,-62.5,675,0.6666666666666666
-412.5,-21.75,73.25,0,1
-1012.5,-18.75,-144.75,0,0
1137.5,-16.75,160.25,0,0.3333333333333333
287.5,57.25,-88.75,0,0.6666666666666666
-412.5,-9.5,3.25,0,1
-1012.5,-18.5,-214.75,0,0
1137.5,-9.5,168.25,0,0.3333333333333333
287.5,37.5,43.25,0,0.6666666666666666
187.5,-99,-42,300,1
-1212.5,-138,-211,-100,0
937.5,-129,254,-100,0.3333333333333333
87.5,366,-1,-100,0.6666666666666666
187.5,-13.25,116.75,0,1
-1212.5,-23.25,-319.25,0,0
937.5,-14.25,201.75,0,0.3333333333333333
87.5,50.75,0.75,0,0.6666666666666666
187.5,-17,165,0,1
-1212.5,-19,-188,0,0
937.5,-17,155,0,0.3333333333333333
87.5,53,-132,0,0.6666666666666666
187.5,-21.75,112.5,0,1
-1212.5,-19.75,-175.5,0,0
937.5,10.25,87.5,0,0.3333333333333333
87.5,31.25,-24.5,0,0.6666666666666666
187.5,-16.5,135,0,1
-1212.5,-18.5,-218,0,0
937.5,-16.5,125,0,0.3333333333333333
87.5,51.5,-42,0,0.6666666666666666
187.5,-8.5,67,-25,1
-1212.5,-22.5,-210,-25,0
937.5,-20.5,215,-25,0.3333333333333333
87.5,51.5,-72,75,0.6666666666666666
187.5,-18.5,158.75,0,1
-1212.5,-20.5,-194.25,0,0
937.5,-21.5,148.75,0,0.3333333333333333
87.5,60.5,-113.25,0,0.6666666666666666
187.5,-140.5,153.5,0,1
-1212.5,-139.5,-199.5,0,0
937.5,124.5,63.5,0,0.3333333333333333
87.5,155.5,-17.5,0,0.6666666666666666
187.5,-129.75,147.25,-25,1
-1212.5,-224.75,-205.75,75,0
937.5,151.25,82.25,-25,0.3333333333333333
87.5,203.25,-23.75,-25,0.6666666666666666
187.5,-130.25,142.75,-125,1
-1212.5,-228.25,-225.25,-125,0
937.5,157.75,37.75,-125,0.3333333333333333
87.5,200.75,44.75,375,0.6666666666666666
187.5,-107.25,153.5,0,1
-1212.5,-199.25,-199.5,0,0
937.5,74.75,63.5,0,0.3333333333333333
87.5,231.75,-17.5,0,0.6666666666666666
187.5,-88.25,100,-225,1
-1212.5,-82.25,-220,175,0
937.5,-40.25,75,-225,0.3333333333333333
87.5,210.75,45,275,0.6666666666666666
187.5,-28.25,84,-150,1
-1212.5,-23.25,-252,-150,0
937.5,0.75,99,-150,0.3333333333333333
87.5,50.75,69,450,0.6666666666666666
187.5,-32,9.5,-25,1
-1212.5,-27,-235.5,-25,0
937.5,16,140.5,-25,0.3333333333333333
87.5,43,85.5,75,0.6666666666666666
187.5,-146.75,69.5,-25,1
-1212.5,-142.75,-150.5,-25,0
937.5,129.25,225.5,-25,0.3333333333333333
87.5,160.25,-144.5,75,0.6666666666666666
187.5,-196,48.25,-25,1
-1212.5,-93,-252.75,-25,0
937.5,303,131.25,-25,0.3333333333333333
87.5,-14,73.25,75,0.6666666666666666
187.5,-118,81.5,275,1
-1212.5,-116,-270.5,-125,0
937.5,182,133.5,-125,0.3333333333333333
87.5,52,55.5,-25,0.6666666666666666
187.5,-86,64.5,275,1
-1212.5,-125,-287.5,-125,0
937.5,172,184.5,-125,0.3333333333333333
87.5,39,38.5,-25,0.6666666666666666
187.5,-88,40.5,350,1
-1212.5,-127,-255.5,-150,0
937.5,163,200.5,-150,0.3333333333333333
87.5,52,14.5,-50,0.6666666666666666
187.5,-14.5,40.5,-25,1
-1212.5,-40.5,-255.5,-25,0
937.5,27.5,200.5,-25,0.3333333333333333
87.5,27.5,14.5,75,0.6666666666666666
212.5,-72.5,-14,0,1
-1187.5,-86.5,-259,0,0
962.5,206.5,262,0,0.3333333333333333
12.5,-47.5,11,0,0.6666666666666666
-12.5,4.75,-6.75,225,1
-1112.5,-108.25,-234.75,-225,0
1037.5,191.75,206.25,225,0.3333333333333333
87.5,-88.25,35.25,-225,0.6666666666666666
125,112.75,-31.5,0,1
-975,-137.25,-134.5,0,0
625,-125.25,168.5,0,0.3333333333333333
225,149.75,-2.5,0,0.6666666666666666
125,-65.5,5,0,1
-975,-71.5,-276,0,0
625,-42.5,221,0,0.3333333333333333
225,179.5,50,0,0.6666666666666666
125,-72,-7.75,375,1
-975,-72,-67.75,-125,0
625,-56,123.25,-125,0.3333333333333333
225,200,-47.75,-125,0.6666666666666666
125,-199.5,15,0,1
-975,-179.5,-62,0,0
625,69.5,89,0,0.3333333333333333
225,309.5,-42,0,0.6666666666666666
125,-86.75,66.25,0,1
-975,-66.75,-49.75,0,0
625,-42.75,23.25,0,0.3333333333333333
225,196.25,-39.75,0,0.6666666666666666
125,-85.5,50.25,0,1
-975,-65.5,-26.75,0,0
625,-49.5,-12.75,0,0.3333333333333333
225,200.5,-10.75,0,0.6666666666666666
125,-83.25,86.75,0,1
-975,-66.25,-118.25,0,0
625,-51.25,-10.25,0,0.3333333333333333
225,200.75,41.75,0,0.6666666666666666
125,-84,141.5,0,1
-975,-67,-178.5,0,0
625,-50,-19.5,0,0.3333333333333333
225,201,56.5,0,0.6666666666666666
125,-28,86.75,0,1
-975,-11,-118.25,0,0
625,8,-10.25,0,0.3333333333333333
225,31,41.75,0,0.6666666666666666
125,-196.75,118.25,0,1
-975,-179.75,-182.75,0,0
625,63.25,31.25,0,0.3333333333333333
225,313.25,33.25,0,0.6666666666666666
125,-196,113,0,1
-975,-179,-223,0,0
625,60,42,0,0.3333333333333333
225,315,68,0,0.6666666666666666
125,-144.75,98,0,1
-975,-127.75,-235,0,0
625,102.25,161,0,0.3333333333333333
225,170.25,-24,0,0.6666666666666666
125,71.5,6,0,1
-975,-127.5,-180,0,0
625,-109.5,119,0,0.3333333333333333
225,165.5,55,0,0.6666666666666666
125,-141,62,0,1
-975,-124,-185,0,0
625,119,43,0,0.3333333333333333
225,146,80,0,0.6666666666666666
125,-33.5,-32.25,0,1
-975,-238.5,-36.25,0,0
625,4.5,38.75,0,0.3333333333333333
225,267.5,29.75,0,0.6666666666666666
125,249.75,-134.25,0,1
-975,-298.25,50.75,0,0
625,-45.25,-14.25,0,0.3333333333333333
225,93.75,97.75,0,0.6666666666666666
125,238.5,-184.5,0,1
-975,-185.5,64.5,0,0
625,66.5,39.5,0,0.3333333333333333
225,-119.5,80.5,0,0.6666666666666666
125,179,-109.75,0,1
-975,-242,-16.75,0,0
625,15,52.25,0,0.3333333333333333
225,48,74.25,0,0.6666666666666666
125,183.75,-125.5,0,1
-975,-241.25,-48.5,0,0
625,6.75,74.5,0,0.3333333333333333
225,50.75,99.5,0,0.6666666666666666
125,73.25,27.25,0,1
-975,-126.75,-161.75,0,0
625,-93.75,98.25,0,0.3333333333333333
225,147.25,36.25,0,0.6666666666666666
125,76.5,12.5,0,1
-975,-125.5,-245.5,0,0
625,-91.5,91.5,0,0.3333333333333333
225,140.5,141.5,0,0.6666666666666666
125,-78.75,63.25,0,1
-975,-60.75,-232.75,0,0
625,-44.75,72.25,0,0.3333333333333333
225,184.25,97.25,0,0.6666666666666666
125,-78.5,18,0,1
-975,-60.5,-236,0,0
625,-45.5,149,0,0.3333333333333333
225,184.5,69,0,0.6666666666666666
125,40.5,35.25,0,1
-975,-64.5,-236.75,0,0
625,-62.5,133.25,0,0.3333333333333333
225,86.5,68.25,0,0.6666666666666666
125,39.5,52.25,0,1
-975,-65.5,-175.75,0,0
625,-57.5,194.25,0,0.3333333333333333
225,83.5,-70.75,0,0.6666666666666666
125,38.5,35.25,0,1
-975,-66.5,-236.75,0,0
625,-50.5,133.25,0,0.3333333333333333
225,78.5,68.25,0,0.6666666666666666
125,34,52.25,0,1
-975,-71,-175.75,0,0
625,-46,194.25,0,0.3333333333333333
225,83,-70.75,0,0.6666666666666666
-75,28.5,16.25,0,1
-1175,-76.5,-267.75,0,0
1225,-26.5,158.25,0,0.3333333333333333
25,74.5,93.25,0,0.6666666666666666
-75,26.25,36.5,0,1
-1175,-78.75,-199.5,0,0
1225,-19.75,201.5,0,0.3333333333333333
25,72.25,-38.5,0,0.6666666666666666
-75,28.5,16.25,0,1
-1175,-76.5,-267.75,0,0
1225,-26.5,158.25,0,0.3333333333333333
25,74.5,93.25,0,0.6666666666666666
-75,35,68,0,1
-1175,-70,-160,0,0
1225,-46,250,0,0.3333333333333333
25,81,-158,0,0.6666666666666666
-75,35.75,-3.5,0,1
-1175,-69.25,-56.5,0,0
1225,-48.25,174.5,0,0.3333333333333333
25,81.75,-114.5,0,0.6666666666666666
-75,-83.25,-49.75,0,1
-1175,-188.25,-58.75,0,0
1225,77.75,172.25,0,0.3333333333333333
25,193.75,-63.75,0,0.6666666666666666
-75,-83.75,2.25,0,1
-1175,-186.75,-50.75,0,0
1225,86.25,60.25,0,0.3333333333333333
25,184.25,-11.75,0,0.6666666666666666
50,-248.25,47.5,-225,1
-1050,-454.25,33.5,-225,0
1350,278.75,104.5,675,0.3333333333333333
-350,423.75,-185.5,-225,0.6666666666666666
275,-141.25,94.5,0,1
-825,-124.25,-6.5,0,0
675,132.75,24.5,0,0.3333333333333333
-125,132.75,-112.5,0,0.6666666666666666
275,-26,126.5,-125,1
-825,-9,65.5,-125,0
675,10,136.5,-125,0.3333333333333333
-125,25,-328.5,375,0.6666666666666666
275,-84.5,144,0,1
-825,-65.5,43,0,0
675,173.5,114,0,0.3333333333333333
